id,date,type,amount,description,account
1,2024-03-01,income,50000,Зарплата,123456
2,2024-03-02,expense,3000,Продукты,123456
3,2024-03-03,transfer,10000,Перевод на сберегательный,123456
4,2024-03-03,income,10000,Перевод с основного,654321
5,2024-03-05,expense,1500,Кафе,123456
6,2024-03-06,income,20000,Фриланс,123456
7,2024-03-07,expense,5000,Одежда,654321
8,2024-03-08,transfer,5000,Перевод на карту,654321
9,2024-03-08,income,5000,Перевод с другого счета,111111
10,2024-03-10,expense,2000,Такси,123456
